Id,Vendor,Product,Version,Type,End-Of-Life
211,Adobe Systems,Adobe DNG Converter 4.x,4.x,2,1
212,Adobe Systems,Macromedia ColdFusion MX 6.x,6.x,2,0
213,Adobe Systems,Adobe Shockwave Player 12.x,12.x,2,0
214,Adobe Systems,Macromedia FreeHand 8.x,8.x,2,1
215,Adobe Systems,Adobe Contribute CS3,,2,0
216,Adobe Systems,Adobe Photoshop Lightroom 2.x,2.x,2,0
217,Adobe Systems,Adobe Media Encoder CS5,5.x,2,0
218,Adobe Systems,Adobe Connect add-in 11.x,11.x,2,0
219,Adobe Systems,Adobe Audition 2.x,2.x,2,1
220,Adobe Systems,Adobe SpeedGrade CS6,6.x,2,0
221,Adobe Systems,Adobe After Effects CS3,,2,0
222,Adobe Systems,Adobe Form Client 5.x,5.x,2,0
223,Adobe Systems,Adobe InDesign 1.x,1.x,2,1
224,Adobe Systems,Adobe DNG Converter 6.x,6.x,2,0
225,Adobe Systems,Adobe Device Central CS4 2.x,2.x,2,0
226,Adobe Systems,Adobe Shockwave Player 10.x,10.x,2,1
227,Adobe Systems,Macromedia Fireworks MX 2004,,2,0
228,Adobe Systems,Adobe Premiere Pro 1.x,1.x,2,1
229,Adobe Systems,Adobe Illustrator CS 11.x,11.x,2,1
230,Adobe Systems,Adobe Color Management Module (CMM) 1.x,1.x,2,0
231,Adobe Systems,Macromedia Flash Player 5.x,5.x,2,1
232,Adobe Systems,Adobe Version Cue CS3,,2,1
233,Adobe Systems,Adobe Acrobat  4.x,4.x,2,1
234,Adobe Systems,Macromedia Flash Player 6.x,6.x,2,1
235,Adobe Systems,Adobe Premiere Elements 9.x,9.x,2,0
236,Adobe Systems,ExtendScript Toolkit for Windows 1.x,1.x,2,-1
237,Adobe Systems,Adobe Creative Cloud Connection 1.x,1.x,2,0
238,Adobe Systems,Adobe Photoshop Album Starter Edition 3.x,3.x,2,1
239,Adobe Systems,Adobe Premiere Elements 8.x,8.x,2,1
240,Adobe Systems,Adobe RoboHelp 6.x,6.x,2,-1
241,Adobe Systems,Adobe Dimension 4.x,4.x,2,-1
242,Adobe Systems,Adobe Captivate 6.x,6.x,2,0
243,Adobe Systems,Adobe Device Central CS5 3.x,3.x,2,0
244,Adobe Systems,Macromedia Jrun 4.x,,2,0
245,Adobe Systems,Macromedia Director MX 2004,,2,0
246,Adobe Systems,Adobe Acrobat Elements 8.x,8.x,2,1
247,Adobe Systems,Adobe Prelude CS6,1.x,2,0
248,Adobe Systems,Adobe After Effects 7.x,7.x,2,1
249,Adobe Systems,Macromedia Breeze Meeting Add-In,,2,0
250,Adobe Systems,Adobe Form Designer 5.x,5.x,2,0
251,Adobe Systems,Macromedia Dreamweaver UltraDev 4,,2,1
252,Adobe Systems,Adobe LiveMotion 2.x,2.x,2,1
253,Adobe Systems,Adobe SVG Viewer 2.x,2.x,2,1
254,Adobe Systems,Adobe Bridge CS3 2.x,2.x,2,0
255,Adobe Systems,Adobe Digital Editions 1.x,1.x,2,1
256,Adobe Systems,Adobe LiveCycle Designer 9.x,9.x,2,0
257,Adobe Systems,Macromedia Flash MX 2004,,2,0
258,Adobe Systems,Macromedia Contribute 3,,2,0
259,Adobe Systems,Adobe RoboHelp 10.x,10.x,2,0
260,Adobe Systems,Adobe Help Viewer 1.x,1.x,2,0
261,Adobe Systems,Adobe Acrobat Reader 3.x,3.x,2,1
262,Adobe Systems,Adobe Director 11.x,11.x,2,0
263,Adobe Systems,Adobe After Effects 5.x,5.x,2,1
264,Adobe Systems,Adobe Bridge CS6 5.x,5.x,2,0
265,Adobe Systems,Adobe Flash Professional CS5 11.x,11.x,2,0
266,Adobe Systems,Adobe SVG Viewer 3.x,3.x,2,1
267,Adobe Systems,Adobe LiveCycle Designer 8.x,8.x,2,0
268,Adobe Systems,Adobe Flash Player 12.x,12.x,2,1
269,Adobe Systems,Adobe Media Encoder CS4,4.x,2,0
270,Adobe Systems,Adobe Photoshop Album Starter Edition 2.x,2.x,2,1
271,Adobe Systems,Adobe Flash CS3 9.x,9.x,2,0
272,Adobe Systems,Adobe Type Manager 4.x,4.x,2,-1
273,Adobe Systems,Adobe ExtendScript Toolkit CS5 3.x,3.x,2,0
274,Adobe Systems,Adobe FrameMaker 10.x,10.x,2,0
275,Adobe Systems,Adobe Illustrator CS3,13.x,2,0
276,Adobe Systems,Adobe Widget Browser 2.x,2.x,2,0
277,Adobe Systems,Adobe Acrobat Elements 6.x,6.x,2,1
278,Adobe Systems,Macromedia FreeHand MX 11.x,11.x,2,1
279,Adobe Systems,Adobe Flash Builder 4.x,4.x,2,0
280,Adobe Systems,Adobe ColdFusion 10.x,10.x,2,0
281,Adobe Systems,Adobe InDesign CS2 4.x,4.x,2,1
282,Adobe Systems,Adobe Illustrator 7.x,7.x,2,1
283,Adobe Systems,Macromedia Flash Media Server 1.x,1.x,2,0
284,Adobe Systems,Adobe Document Server 5.x,5.x,2,1
