Vendor,Product,Version,Type,End-Of-Life
"Adobe Systems","Adobe Photoshop CS6 13.x",13.x,2,0
"Adobe Systems","Adobe Version Cue CS2",2.x,2,0
"Adobe Systems","Adobe Flex Data Services 2.x",2.x,2,0
"Adobe Systems","Adobe Photoshop Elements 2.x",2.x,2,1
"Adobe Systems","Adobe Photoshop Touch 1.x",1.x,2,0
"Adobe Systems","Adobe Acrobat Elements 7.x",7.x,2,1
"Adobe Systems","Adobe Bridge CS5 4.x",4.x,2,0
"Adobe Systems","Adobe Dimension 3.x",3.x,2,1
"Adobe Systems","Adobe RoboHelp Server 9.x",9.x,2,0
"Adobe Systems","Adobe SVG Viewer 1.x",1.x,2,1
"Adobe Systems","Adobe InDesign Server CS5 7.x",7.x,2,0
"Adobe Systems","Adobe Extension Manager CS4",2.x,2,0
"Adobe Systems","Adobe Encore DVD 1.x",1.x,2,1
"Adobe Systems","Adobe Extension Manager CS5",5.x,2,0
"Adobe Systems","Adobe Illustrator CS3 13.x",13.x,2,1
"Adobe Systems","Adobe Reader X 10.x",10.x,2,0
"Adobe Systems","Macromedia Flash Media Server 2.x",2.x,2,0
"Adobe Systems","Adobe Illustrator CS2 12.x",12.x,2,1
Adolix,"eCover Engineer 6.x",6.x,2,0
ADPLAN,"ADPLAN SEO 3.x",3.x,2,
"AdRem Software","AdRem SNMP Manager 1.x",1.x,2,
"AdRem Software","AdRem Free Remote Console 5.x",5.x,2,
"AdRem Software","AdRem Free Remote Console 4.x",4.x,2,
ADTRAN,"NetVanta 1224STR DC",,1,0
ADTRAN,"ADTRAN NetVanta 7000 Series",,1,0
ADTRAN,"ADTRAN Operating System (AOS) 17.x",17.x,1,0
ADTRAN,"ADTRAN Operating Systems (AOS) 13.x",13.x,1,0
ADTRAN,"ADTRAN Bluesocket vWLAN 4.x",4.x,1,0
ADTRAN,"ADTRAN VVX Series IP Phones",,1,0
ADTRAN,"ADTRAN NetVanta 3000 Series",,1,
ADTRAN,"ADTRAN Soundpoint Series IP Phones",,1,0
ADTRAN,"ADTRAN NetVanta 4000 Series",,1,
ADTRAN,"ADTRAN NetVanta 1500 Series",,1,0
ADTRAN,"ADTRAN NetVanta 5000 Series",,1,
"Adult Swim","Robot Unicorn Attack 2",1.x,2,0
Aduna,"Sesame 1.0.x",1.0.x,2,0
"Advanced Chemistry Development","ACD/ChemSketch FREEWARE 12.x",12.x,2,0
"Advanced Chemistry Development","ACD/ChemSketch 10.x",10.x,2,1
"Advanced Chemistry Development","ACD/ChemSketch 5.x",5.x,2,1
"Advanced Communications","Hosting Controller 6.x",6.x,2,
"Advanced Computer Innovations","FileMerlin 1.x",1.x,2,
"Advanced Graphics Software, Inc.","SlideWrite Plus 7.x",7.x,2,0
"Advanced Micro Devices, Inc (AMD)","AMD OverDrive 4.x",4.x,2,0
"Advanced Micro Devices, Inc (AMD)","AMD Catalyst Proprietary Display Driver (Linux) 11.x",11.x,2,0
"Advanced Micro Devices, Inc (AMD)","AMD System Monitor 0.x",0.x,2,0
"Advanced Micro Devices, Inc (AMD)","AMD Catalyst 13.x",13.x,2,0
"Advanced Micro Devices, Inc (AMD)","AMD Catalyst Software Suite 7.x",7.x,2,
"Advanced Micro Devices, Inc (AMD)","Stream KernelAnalyzer 1.x",1.x,2,0
"Advanced Micro Devices, Inc (AMD)","AMD Dual-Core Optimizer 1.x",1.x,2,
"Advanced Micro Devices, Inc (AMD)","Advanced Micro Devices CPUInfo 3.x",3.x,2,0
"Advanced Micro Devices, Inc (AMD)","AMD Driver Autodetect 1.x",1.x,2,0
"Advanced Micro Devices, Inc (AMD)","ATI Radeon ATIKMDAG.SYS Kernel Driver",,2,
"Advanced PC Media LLC","Tweaks Logon Changer 1.x",1.x,2,0
"Advanced Productivity Software","DTE Axiom 12.x",12.x,2,0
"Advanced Research Corporation","SARA 5.x",5.x,2,
"Advanced Research Corporation","SARA 4.x",4.x,2,
"Advanced Software","ActivityMon WebGuard 2.x",2.x,2,0
"Advanced Software Production Line","Vortex Library 1.x",1.x,2,
"Advansys Pty Limited","Advansys Formativ 2.x",2.x,2,
"Advantage Century Telecommunication Corp","ACT WLAN Phone P202S",,1,
Advantech,"Advantech Studio 7.x",7.x,2,0
Advantech,"Advantech ISSymbol ActiveX Control 6.x",6.x,2,0
Advantech,"Advantech Studio 6.x",6.x,2,1
Advantech,"Advantech WebAccess 7.x",7.x,2,0
Advantech,"Advantech ADAM ActiveX Control 3.x",3.x,2,0
Advantech,"Advantech OPC Server 3.x",3.x,2,0
"Advent Software","Advent Moxy 5.x",5.x,2,
"Advent Software","Advent Axys 3.x",3.x,2,
Adventia,"E-Data 2.x",2.x,2,
"AdventNet Inc","ManageEngine OpManager 7.x",7.x,2,
"AdventNet Inc","ManageEngine OpUtils 5.x",5.x,2,
"AdventNet Inc","ManageEngine ServiceDesk Plus 8.x",8.x,2,0
"AdventNet Inc","ManageEngine WiFi Manager 4.x",4.x,2,
"AdventNet Inc","ManageEngine OpManager MSP Edition",,2,
"AdventNet Inc","ManageEngine EventLog Analyzer 4.x",4.x,2,
"AdventNet Inc","ManageEngine SupportCenter Plus 7.x",7.x,2,
"AdventNet Inc","ManageEngine NetFlow Analyzer 4.x",4.x,2,
"AdventNet Inc","ManageEngine Applications Manager 8.x",8.x,2,
"AdventNet Inc","ManageEngine ServiceDesk Plus 7.x",7.x,2,
"AdventNet Inc","Zoho Virtual Office 3.x",3.x,2,
"AdventNet Inc","ManageEngine OpManager 6.x",6.x,2,
"AdventNet Inc","ManageEngine EventLog Analyzer 5.x",5.x,2,
"AdventNet Inc","ManageEngine Firewall Analyzer 5.x",5.x,2,
"AdventNet Inc","ManageEngine NetFlow Analyzer 5.x",5.x,2,
Advox,"Advox Omnigate 5.x",5.x,2,
ADVSoft,"ProxyInspector 2.x",2.x,2,
"AEB GmbH","AEB Compliance Engine 3.x",3.x,2,
Aelitis,"Azureus 2.x",2.x,2,
Aelitis,"Azureus 1.x",1.x,2,
Aelitis,"Vuze (formerly Azureus) 3.x",3.x,2,
"AEP Networks","Netilla Security Platform (NSP)",,1,
"AEP Networks","SmartGate 5.x",5.x,2,
"AEP Networks","SmartGate 4.x",4.x,2,
"AEP Networks","V-ONE SmartPass 4.x",4.x,2,
"Aeria Games &amp; Entertainment, Inc.","Aeria Ignite 1.x",1.x,2,0
Aerohive,HiveOS,,1,0
Aestiva,"Aestiva HTML/OS 2.x",2.x,2,
aEton,"aEton CommunicaEtor 0.x",0.x,2,0
"AEwebworks Dating Software","aeDating 3.x",3.x,2,
"AEwebworks Dating Software","aeDating 4.x",4.x,2,
"AFAS ERP SOFTWARE","Profit 2.x",2.x,2,
"afb Application Services AG","afbReportViewX ActiveX Control 2.x",2.x,2,0
"AFD Software Ltd.","AFD Postcode 5.x",5.x,2,
AFDigitale,"AFDigitale Plugin 1.x (extension for Firefox)",1.x,2,0
"AFL Telecommunications","Trace600 2.x",2.x,2,
"AFSL Games","Battle Carry 0.x",0.x,2,
AfterLogic,"MailBee WebMail Lite 4.x",4.x,2,
AfterLogic,"MailBee WebMail Lite ASP 4.x",4.x,2,
AfterLogic,"MailBee WebMail Lite ASP.NET 4.x",4.x,2,
AfterLogic,"MailBee WebMail Pro PHP 4.x",4.x,2,
AfterLogic,"MailBee WebMail Pro 3.x",3.x,2,
AfterLogic,"AfterLogic WebMail Pro ASP.NET 4.x",4.x,2,
AfterLogic,"AfterLogic WebMail Lite 7.x",7.x,2,0
AfterLogic,"AfterLogic WebMail Pro 7.x",7.x,2,0
"AG Projects","python-cjson 1.x",1.x,2,1
"Agares Media","phpAutoVideo 2.x",2.x,2,
"Agares Media","Arcadem 2.x",2.x,2,
"Agda Lön AB","Agda PS 2008",2008,2,
"ageet Corporation","AGEphone 1.x",1.x,2,
"ageet Corporation","sipd ActiveX Control 1.x",1.x,2,0
"AGEIA Technologies","AGEIA PhysX 2.x",2.x,2,
AGENCY4NET,"AGENCY4NET WEBFTP 1.x",1.x,2,0
Agendize,"AgendiZe ActiveX Control 1.x",1.x,2,0
Agfa,"ORBIS Medical 5.x",5.x,2,0
Agfa,"Agfa ScanWise 1.x",1.x,2,
Agfa,"Agfa ScanWise 2.x",2.x,2,
Agfeo,"TK-Suite professional Client 4.x",4.x,2,0
Agfeo,"TK-Suite Basic 3.x",3.x,2,
Agglom,"Agglomerator  1.x (extension for Firefox)",1.x,2,0
"Agile Components","Agile.RTF (Formerly known as Active RTF) 3.x",3.x,2,0
"Agile Software","Agile PLM (Product Lifecycle Management) 5.x",5.x,2,
"Agile Software","Agile Platform 5.x",5.x,2,0
"AGILE TECHNOLOGIES","Memory Book! 1.x (component for Joomla!)",1.x,2,0
AgileBits,"1Password 3.x",3.x,2,0
AgileBits,"AllBookmarks 4.x",4.x,2,0
AgileBits,"1Password Pro 5.x",5.x,2,0
AgileBits,"Knox 2.x",2.x,2,0
AgileBits,"1Password 1.x",1.x,2,0
"Agileco, LLC","AgileBill 1.x",1.x,2,0
Agilent,"ScopeData Pro 3.x",3.x,2,0
Agilent,"Agilent OSS QoS Manager (Firehunter) 5.x",5.x,2,
Agilent,"Agilent Advisor Switch Advisor 11.x",11.x,2,
AgilQuest,"AgilQuest OnBoard 3.x",3.x,2,
"AGNITAS AG","OpenEMM 2013",,2,0
Agnitum,"Agnitum Outpost Firewall Pro 4.x",4.x,2,1
Agnitum,"Agnitum Outpost Firewall Pro 2.x",,2,1
Agnitum,"Outpost Security Suite Pro 7.x",7.x,2,0
Agnitum,"Agnitum Outpost Firewall Pro 7.x",7.x,2,0
Agnitum,"Outpost Security Suite 5.x",5.x,2,
Agnitum,"Agnitum Outpost Firewall Pro 9.x",9.x,2,0
Agnitum,"Agnitum Outpost Firewall Pro 3.x",3.x,2,1
Agnitum,"Agnitum Outpost Firewall Pro 8.x",8.x,2,0
Agnitum,"Agnitum Spam Terrier 0.x",0.x,2,
Agnitum,"Outpost Security Suite 6.x",6.x,2,0
Agnitum,"Agnitum Outpost Firewall Pro 6.x",6.x,2,1
Agnitum,"Agnitum Outpost Firewall Pro 5.x",5.x,2,1
Agnitum,"Agnitum Outpost Security Suite Pro 8.x",8.x,2,0
Agnitum,"Agnitum Outpost Firewall Pro 1.x",1.x,2,1
Agresso,"AGRESSO Office",,2,
"Agrin Soft","Agrin All DVD Ripper 4.x",4.x,2,0
"AGTC Websolutions","PHP-AGTC membership system 1.x",1.x,2,
"AGTC Websolutions","AGTC MyShop 3.x",3.x,2,
Ahead,"NeroVision Express 3.x",3.x,2,
Ahead,"Nero PhotoSnap 1.x",1.x,2,
Ahead,"NeroNET 1.x",1.x,2,
Ahead,"Nero Burning ROM 8.x",8.x,2,
Ahead,"Nero MediaHome 1.x",1.x,2,
Ahead,"Nero Wave Editor 2.x",2.x,2,
Ahead,"Nero ImageDrive 3.x",3.x,2,
Ahead,"Nero Media Player 1.x",1.x,2,
Ahead,"Nero Wave Editor 3.x",3.x,2,
Ahead,"Nero StartSmart 1.x",1.x,2,
Ahead,"Nero Wave Editor 1.x",1.x,2,
Ahead,"SIPPS 2.x",2.x,2,
Ahead,"NeroVision Express 2.x",2.x,2,
Ahead,"Nero Burning ROM 5.x",5.x,2,
Ahead,"Nero InCD 4.x",4.x,2,
Ahead,"Nero SoundTrax 1.x",1.x,2,
Ahead,"Nero Burning ROM 7.x",7.x,2,
Ahead,"Nero StartSmart 8.x",8.x,2,
Ahead,"Nero BackItUp 1.x",1.x,2,
Ahead,"Nero BurnRights 1.x",1.x,2,
Ahead,"Nero ImageDrive 2.x",2.x,2,
Ahead,"Nero CoverDesigner 2.x",2.x,2,0
Ahead,"Nero InCD 5.x",5.x,2,
Ahead,"Nero ShowTime 2.x",2.x,2,
Ahead,"Nero StartSmart 2.x",2.x,2,
Ahead,"Nero Burning ROM 6.x",6.x,2,
Ahead,"Nero Recode 2.x",2.x,2,
Aheaddvd,"Ahead DVD Ripper 1.x",1.x,2,0
"AHG inc","EZshopper 3.x",3.x,2,
AhnLab,"AhnLab MyV3",,2,
AhnLab,"AhnLab V3Net for Windows Server 6.x",6.x,2,
AhnLab,"AhnLab V3Pro 2004 (AhnLab V3 VirusBlock 2005)",,2,
AhnLab,"AhnLab V3 Internet Security 8.x",8.x,2,0
AhnLab,"AhnLab V3 Internet Security 2007",,2,1
"Ahsay Systems Corporation Limited","Ahsay A-Click Backup 5.x",5.x,2,
"Ahsay Systems Corporation Limited","Ahsay Online Backup Manager 5.x",5.x,2,
Ahusoft,"Super Internet TV 8.x",8.x,2,
"AI Factory","Chess Free for Android 1.x",1.x,2,0
"AI Internet Solutions","CSE HTML Validator 14.x",14.x,2,0
"AI Internet Solutions","CSE HTML Validator 8.x",8.x,2,
"AI Internet Solutions","CSE HTML Validator Lite 8.x",8.x,2,
"AI Internet Solutions","CSE HTML Validator Lite 3.x",3.x,2,
"AI Squared","ZoomText 9.x",9.x,2,0
"AI Squared","ZoomText 10.x",10.x,2,0
aidecad,"Aide PDF to DXF Converter 9.x",9.x,2,0
"Aidem Media","BlooMooWeb ActiveX Control 1.x",1.x,2,
"Aignesberger Software GmbH","WebSite-Watcher 12.x",12.x,2,0
"Aignesberger Software GmbH","WebSite-Watcher 11.x",11.x,2,0
"Aignesberger Software GmbH","WebSite-Watcher 13.x",13.x,2,0
"Aignesberger Software GmbH","AM-Deadlink 4.x",4.x,2,0
"Aignesberger Software GmbH","WebSite-Watcher 4.x",4.x,2,0
"Aimersoft Studio","Aimersoft DVD Ripper 2.x",2.x,2,0
"Aimersoft Studio","Aimersoft Video Converter 5.x",5.x,2,0
"Aimersoft Studio","Aimersoft Video Converter Ultimate 4.x",4.x,2,0
"Aimluck Inc.","Aipo ASP 5.x",5.x,2,0
"Aimluck Inc.","Aipo ASP 3.x",3.x,2,0
"Aimluck Inc.","Aipo 5.x",5.x,2,0
"Aimluck Inc.","Aipo 3.x",3.x,2,0
"AINS, Inc.","ATIPXpress 6.x",6.x,2,
"AINVO GROUP","Ainvo Registry Defrag 4.x",4.x,2,0
"AINVO GROUP","Ainvo Disk Cleaner 2.x",2.x,2,0
AirDefense,"AirDefense Mobile 2.x",2.x,2,
AirDefense,"AirDefense Firmware 4.x",4.x,1,
Airiny,"ABC 1.x (component for Joomla)",1.x,2,0
Airlink101,"Airlink101 WLAN Monitor 1.x",1.x,2,0
AirLive,"AirLive POE-2600HD IP Camera",,1,0
AirLive,"AirLive OD-2060HD IP Camera",,1,0
AirLive,"AirLive OD-2025HD IP Camera",,1,0
AirLive,"AirLive OD-325HD IP Camera",,1,0
AirLive,"AirLive POE-100HD IP Camera",,1,0
AirLive,"AirLive POE-200HD IP Camera",,1,0
AirLive,"AirLive WL-2600CAM IP Camera",,1,0
AirLive,"AirLive POE-250HD IP Camera",,1,0
"Airlock Software","Hacker News 2.x",2.x,2,0
AirMagnet,"AirMagnet BlueSweep 1.x",1.x,2,
AirMagnet,"AirMagnet Laptop Analyzer 7.x",7.x,2,
AirMagnet,"AirMagnet Laptop Analyzer 6.x",6.x,2,
AirMagnet,"AirMagnet Enterprise",,2,
"Airops Software Limited","Airops 2000",4.x,2,0
Airspan,"Airspan WiMAX ProST",,1,
"Airvae Commerce LLC","Airvae Commerce 3.x",3.x,2,
"Aisan Technology Co., Ltd.","Minna De Office 2.x",2.x,2,
"Aisan Technology Co., Ltd.","Minna De Office 1.x",1.x,2,
Aiseesoft,"Aiseesoft Blu-ray Ripper 6.x",6.x,2,0
Aiseesoft,"Aiseesoft Media Converter Ultimate 7.x",7.x,2,0
"Aishizu Inc","Sencha SNS 1.x",1.x,2,0
Aist,"Movie X one 4.x",4.x,2,
Aist,"Movie X one PLUS",,2,
AITpro,"WordPress BulletProof Security Plugin 0.x",0.x,2,0
"AiWood Digital Inc.","AiCart 2.x",2.x,2,0
"AJ Square Inc","AJ Shopping Cart 1.x",1.x,2,0
"AJ Square Inc","AJ Matrix",,2,
"AJ Square Inc","AJ Square Free Polling Script",,2,
"AJ Square Inc","AJ Article 3.x",3.x,2,0
"AJ Square Inc","AJ HYIP",,2,
"AJ Square Inc","AJ E-Commerce 2.x",2.x,2,
"AJ Square Inc","ZeusCart 3.x",3.x,2,0
"AJ Square Inc","AJ Auction Pro",,2,
"AJ Square Inc","AJ Forum",,2,
"AJ Square Inc","ZeusCart 2.x",2.x,2,
"AJ Square Inc","AJ Classifieds 2008",,2,
"AJ Square Inc",AJDating,,2,
"AJ Square Inc","AJ Article 1.x",1.x,2,
"AJ Square Inc","AJ Classifieds 3.x",3.x,2,
"AJ Square Inc","Aj Square RSS Reader",,2,
"AJB Software Design Inc","AJB FiPAY EMV 4.x",4.x,2,0
"AJSystems.com Inc","OutBack Plus 7.x",7.x,2,0
"Akademische Arbeitsgemeinschaft Verlag, Mannheim","Steuer-Spar-Erklarung 2008 13.x",13.x,2,0
"Akademische Arbeitsgemeinschaft Verlag, Mannheim","Steuer-Spar-Erklaerung 2011 17.x",17.x,2,0
"Akademische Arbeitsgemeinschaft Verlag, Mannheim","Steuer-Spar-Erklärung 2011 16.x",16.x,2,0
"Akademische Arbeitsgemeinschaft Verlag, Mannheim","Steuer-Spar-Erklärung 2014",19.x,2,0
"Akademische Arbeitsgemeinschaft Verlag, Mannheim","Steuer-Spar-Erklarung 2006 11.x",11.x,2,0
"Akademische Arbeitsgemeinschaft Verlag, Mannheim","Steuer-Spar-Erklärung 15.x",15.x,2,0
"Akademische Arbeitsgemeinschaft Verlag, Mannheim","Steuer-Spar-Erklarung 2007 12.x",12.x,2,0
"Akademische Arbeitsgemeinschaft Verlag, Mannheim","Steuer-Spar-Erklarung 2009 14.x",14.x,2,0
"Akademische Arbeitsgemeinschaft Verlag, Mannheim","Steuer-Spar-Erklärung 2013",18.x,2,0
Akamai,"Akamai Red Swoosh Client",,2,
Akamai,"Download Manager ActiveX Control 2.x",2.x,2,
Akamai,"Akamai Download Manager ActiveX Control 2.x",2.x,2,
"Akeeba Developers","Akeeba Backup 3.x (component for Joomla!)",3.x,2,0
"Akeeba Developers","Admin Tools 1.x (component for Joomla!)",1.x,2,1
Akella,"Akella Age of Sail II 1.x",1.x,2,
Aker,"Aker Secure Mail Gateway 2.x",2.x,2,0
AKFQuiz,"AKFQuiz 4.x",4.x,2,0
"Akiva Corporation","Akiva WebBoard 8.x",8.x,2,
"Akiva Corporation","Akiva ChatSpace Community Server 4.x",4.x,2,
"Akiva Corporation","Akiva ChatSpace Community Server 3.x",3.x,2,
AkkyWareHOUSE,"AkkyWareHOUSE 7-zip32.dll 4.x",4.x,2,
"Akram Software","Akram Media Creator 1.x",1.x,2,
"Akram Software","Akram Audio Editor 2.x",2.x,2,
"Akram Software","Akram Audio Converter 5.x",5.x,2,
"Akram Software","Akram Audio Converter 6.x",6.x,2,0
"Akruto Inc.","Akruto Sync 3.x",3.x,2,0
AKS-Labs,"File Search Assistant 1.x",1.x,2,
AKS-Labs,"Compare Suite 3.x",3.x,2,
AKS-Labs,"Compare Suite 2.x",2.x,2,
AKS-Labs,"Compare Suite 7.x",7.x,2,0
AKS-Labs,"File Search Assistant 3.x",3.x,2,
AKS-Labs,"File Search Assistant 2.x",2.x,2,
AKVIS,"AKVIS MakeUp 3.x",3.x,2,0
AKVIS,"AKVIS MultiBrush 7.x",7.x,2,0
AKVIS,"AKVIS Sketch 12.x",12.x,2,0
AKVIS,"AKVIS Retoucher 6.x",6.x,2,0
AKVIS,"AKVIS ArtWork 6.x",6.x,2,0
AKVIS,"AKVIS Noise Buster 9.x",9.x,2,0
AKVIS,"AKVIS Magnifier 7.x",7.x,2,0
AKVIS,"AKVIS Refocus 4.x",4.x,2,0
AKVIS,"AKVIS Sketch 15.x",15.x,2,0
AKVIS,"AKVIS Sketch 14.x",14.x,2,0
AKVIS,"AKVIS SmartMask 4.x",4.x,2,0
AKVIS,"AKVIS NatureArt 5.x",5.x,2,0
AKVIS,"AKVIS HDRFactory 4.x",4.x,2,0
AKVIS,"AKVIS Chameleon 8.x",8.x,2,0
AKVIS,"AKVIS Coloriage 9.x",9.x,2,0
AKVIS,"AKVIS Enhancer 14.x",14.x,2,0
"Al Rajhi Bank","Al Rajhi Bank 1.x",1.x,2,0
Alachisoft,"NCache 4.x",4.x,2,0
"Aladdin Knowledge Systems","Aladdin eToken TMS 1.x",1.x,2,
"Aladdin Knowledge Systems","Aladdin Monitor 1.x",1.x,2,
"Aladdin Knowledge Systems","eSafe Mail 4.x",4.x,2,
"Aladdin Knowledge Systems","eSafe Gateway 4.x",4.x,2,
"Aladdin Knowledge Systems","eSafe Web 6.x",6.x,2,
"Aladdin Knowledge Systems","Aladdin eToken PKI Client 4.x",4.x,2,0
"Aladdin Knowledge Systems","eSafe Gateway 3.5.x",3.5.x,2,
"Aladdin Knowledge Systems","eSafe Mail 6.x",6.x,2,
"Aladdin Knowledge Systems","eSafe Gateway 5.x",5.x,2,
"Aladdin Knowledge Systems","Aladdin eToken TMS 2.x",2.x,2,
Alamy,"alamy_uploader ActiveX Control 1.x",1.x,2,0
"ALAUX Michel","Accounts &amp; Budget 5.x",5.x,2,0
"Alawar Entertainment","Beetle Ju 1.x",1.x,2,
"Alawar Entertainment","Diamond Drop 1.x",1.x,2,
"ALAXALA Networks","ALAXALA Networks AX7800S Series",,1,
"ALAXALA Networks","ALAXALA Networks AX7800R Series",,1,
"ALAXALA Networks","ALAXALA Networks AX2000R Series",,1,
"ALAXALA Networks","ALAXALA Networks AX7700R",,1,
"ALAXALA Networks","ALAXALA Networks AX2400S Series",,1,
"ALAXALA Networks","ALAXALA Networks AX3600S Series",,1,
"ALAXALA Networks","ALAXALA Networks AX5400S Series",,1,
Albelli,"Albelli Photo Book 7.x",7.x,2,0
Albinator,"Albinator 2.x",2.x,2,0
Alcassoft,"SOPHIA CMS",,2,0
ALCATech,"BPM Studio Professional 4.x",4.x,2,
Alcatel,"Alcatel PIMphony 4.x",4.x,2,
Alcatel,"Alcatel OmniVista 4760",,2,0
Alcatel,"Alcatel-Lucent OmniSwitch 7000 Series",,1,
Alcatel,"Alcatel 4980 Soft Phone 3.x",3.x,2,
Alcatel,"Alcatel Contact Center Agent 6.x",6.x,2,
Alcatel,"Alcatel PIMphony 5.x",5.x,2,
Alcatel-Lucent,"OmniPCX Office",,1,
Alcatel-Lucent,"VitalQIP 8.x",8.x,2,0
Alcatel-Lucent,"Alcatel 8 Series IP Touch Phones",,1,0
Alcatel-Lucent,"Alcatel-Lucent OmniSwitch 9000 Series",,1,
Alcatel-Lucent,"Alcatel-Lucent OmniSwitch 6850 Series",,1,
Alcatel-Lucent,"Alcatel-Lucent OmniSwitch 6800 Series",,1,
Alcatel-Lucent,"Alcatel-Lucent Business integrated Communication Solution R2.x",2.x,1,0
Alcatel-Lucent,"Alcatel-Lucent OmniPCX Enterprise 9.x",9.x,2,0
Alcatel-Lucent,"Alcatel-Lucent OmniSwitch 6400 Series",,1,0
Alcatel-Lucent,"OmniPCX Enterprise 6.x",6.x,2,
Alcatel-Lucent,"Alcatel-Lucent OmniSwitch 6600 Series",,1,
Alcatel-Lucent,"Alcatel-Lucent OmniTouch 8400 Instant Communication Suite R6.x",6.x,2,0
Alcatel-Lucent,"Alcatel-Lucent OmniTouch 8460 Advanced Communications Server R9.x",9.x,2,0
Alcatel-Lucent,"OmniPCX Enterprise 7.x",7.x,2,
Alcatel-Lucent,"Alcatel-Lucent OmniTouch 8670 Automated Message Delivery System (AMDS) R6.x",6.x,2,0
Alcatel-Lucent,"Alcatel-Lucent 7750 Service Router",,1,0
Alcatel-Lucent,"VitalQIP 7.x",7.x,2,
Alcatel-Lucent,"Alcatel-Lucent OmniTouch 8660 My Teamwork R6.x",6.x,2,0
Alcatel-Lucent,"Alcatel-Lucent OmniTouch Contact Center Standard Edition 9.x",9.x,2,0
"Alchemy Lab","Alchemy Remote Executor 1.x",1.x,2,
"Alchemy Mindworks","Graphic Workshop Professional 4.x",4.x,2,0
"Alcoda Software","Word Spring 5.x",5.x,2,
"Alcohol Soft","Alcohol 120% 2.x",2.x,2,0
"Alcohol Soft","Alcohol 120% 1.x",1.x,2,
"Alcohol Soft","Alcohol 52% 2.x",2.x,2,0
Aldiko,"Aldiko Book Reader 2.x",2.x,2,0
Aldiko,"Aldiko Book Reader 3.x",3.x,2,0
Aldoc,"Aldoc Sys 6.x",6.x,2,
Aldostools,"AWeb 1.x",,2,
ALeadSoft.com,"Search Engine Builder Standard 3.x",3.x,2,0
ALeadSoft.com,"Search Engine Builder Professional 2.x",2.x,2,
"Alentum Software","WebLog Expert 1.x",1.x,2,
"Alentum Software","WebLog Expert 3.x",3.x,2,
"Alentum Software","WebLog Expert 5.x",5.x,2,
"Alentum Software","WebLog Expert Lite 6.x",6.x,2,
"Aleo Software","Flash Intro Banner Maker 4.x",4.x,2,0
"Aleo Software","Aleo SWF GIF Converter 1.x",1.x,2,0
"Alex Nolan","DriveMan 4.x",4.x,2,0
Alexa,"Alexa Sparky 1.x (extension for Firefox)",1.x,2,0
"Alexander Seeliger Software","Backup Service Home 3.x",3.x,2,0
"Alexandr Novy","WEBPlotter ActiveX Control 2.x",,2,
"ALF AG","AlfBanCo 5.x",5.x,2,0
"ALF AG","AlfBanCo 4.x",4.x,2,0
"ALF AG","AlfBanCo 3.x",3.x,2,0
"alfa Media Partner","alfa PageOneXT 3.x",3.x,2,
"AlfaSoft Research Labs","AlfaClock 2 1.x",1.x,2,
ALFSoft,"ALFContact 3.x (component for Joomla!)",3.x,2,0
"Algis Info","aiContactSafe 2.x (component for Joomla!)",2.x,2,0
algoriddim,"djay 3.x",3.x,2,0
"Algorithmic Research (ARX)","PrivateWire 3.x",3.x,2,
"Algorithmica Research","Quantlab 2.x",2.x,2,
Algorithmics,"Sound Rescue TerraTec Edition 2.x",2.x,2,0
Algorithmics,"Algo Collateral (Sentry) 4.x",4.x,2,
Algorius,"Algorius Net Viewer 4.x",4.x,2,0
Algosec,"AlgoSec Firewall Analyzer 5.x",5.x,2,0
Algosec,"AlgoSec Firewall Analyzer 6.x",6.x,2,0
AlibabaClone.com,"B2B Gold Script",,2,0
AlibabaClone.com,"B2B Classic Script",,2,0
"Alic Consulting",E-Annu,,2,
"Alien Skin Software","Alien Skin Exposure 3.x",3.x,2,0
"Alien Skin Software","Eye Candy 5: Textures DEMO 1.x",1.x,2,
aliencrypt,"AlienConverter 3.x",3.x,2,0
Alienvault,"AlienVault Unified Security Management (USM) 4.x",4.x,2,0
Alienvault,"OSSIM (AlienVault Open Source SIM) 2.x",2.x,2,
Alienvault,"OSSIM (AlienVault Open Source SIM) 3.x",3.x,2,0
Alienvault,"OSSIM (AlienVault Open Source SIM) 4.x",4.x,2,0
Alipay,"Alipay PTA Module ActiveX Control 2.x",2.x,2,
"AliveMedia, Inc.","Alive MP3 WAV Converter 3.x",3.x,2,
"ALK Technologies","CoPilot GPS 9.x",9.x,2,0
"Alkacon Software","Alkacon OpenCms 8.x",8.x,2,0
"Alkacon Software","Alkacon OpenCms 6.x",6.x,2,
"Alkacon Software","Alkacon OpenCms 7.x",7.x,2,
"ALL CONSULTING","HONORIS 4.x",4.x,2,
"ALL CONSULTING","HONORIS 3.x",3.x,2,
"All Enthusiast","ReviewPost PHP Pro 3.x",3.x,2,
"All Enthusiast","PhotoPost PHP Pro 5.x",5.x,2,
"All Enthusiast","PhotoPost Classifieds 2.x",2.x,2,
"All Enthusiast","vBGallery 2.x",2.x,2,0
"All Enthusiast","PhotoPost PHP Pro 4.x",,2,
"All Enthusiast","vBGallery 1.x",1.x,2,0
"All Enthusiast","ReviewPost PHP Pro 2.x",2.x,2,
"Allen Systems Group, Inc","ASG-MethodManager 2.x",2.x,2,0
"Allen Systems Group, Inc","ASG-JOB/SCAN 7.x",7.x,2,0
